date,pm25,pm10
2024-02-11,38.5,36.28125
2024-02-12,38.458333333333336,36.1875
2024-02-13,38.416666666666664,36.09375
2024-02-14,38.375,36.0
2024-02-15,38.333333333333336,35.90625
2024-02-16,38.291666666666664,35.8125
2024-02-17,38.25,35.71875
2024-02-18,38.208333333333336,35.625
2024-02-19,38.166666666666664,35.53125
2024-02-20,38.125,35.4375
2024-02-21,38.083333333333336,35.34375
2024-02-22,38.041666666666664,35.25
2024-02-23,38.0,35.15625
2024-02-24,37.958333333333336,35.0625
2024-02-25,37.916666666666664,34.96875
2024-02-26,37.875,34.875
2024-02-27,37.833333333333336,34.78125
2024-02-28,37.791666666666664,34.6875
2024-02-29,37.75,34.59375
2024-03-01,37.708333333333336,34.5
2024-03-02,37.666666666666664,34.40625
2024-03-03,37.625,34.3125
2024-03-04,37.583333333333336,34.21875
2024-03-05,37.541666666666664,34.125
2024-03-06,37.5,34.03125
2024-03-07,37.458333333333336,33.9375
2024-03-08,37.416666666666664,33.84375
2024-03-09,37.375,33.75
2024-03-10,37.333333333333336,33.65625
2024-03-11,37.291666666666664,33.5625
2024-03-12,37.25,33.46875
2024-03-13,37.208333333333336,33.375
2024-03-14,37.166666666666664,33.28125
2024-03-15,37.125,33.1875
2024-03-16,37.083333333333336,33.09375
2024-03-17,37.041666666666664,33.0
2024-03-18,37.0,30.0
2024-03-19,34.0,4.0
2024-03-20,2.0,9.0
2024-03-21,5.0,14.0
2024-03-22,10.0,10.0
2024-03-23,7.0,7.0
2024-03-24,5.0,6.0
2024-03-25,4.0,7.0
2024-03-26,6.0,9.0
2024-03-27,8.0,19.0
2024-03-28,17.0,23.0
2024-03-29,25.0,23.307692307692307
2024-03-30,25.03846153846154,23.615384615384617
2024-03-31,25.076923076923077,23.923076923076923
2024-04-01,25.115384615384617,24.23076923076923
2024-04-02,25.153846153846153,24.53846153846154
2024-04-03,25.192307692307693,24.846153846153847
2024-04-04,25.23076923076923,25.153846153846153
2024-04-05,25.26923076923077,25.46153846153846
2024-04-06,25.307692307692307,25.76923076923077
2024-04-07,25.346153846153847,26.076923076923077
2024-04-08,25.384615384615383,26.384615384615387
2024-04-09,25.423076923076923,26.692307692307693
2024-04-10,25.46153846153846,27.0
2024-04-11,25.5,27.307692307692307
2024-04-12,25.53846153846154,27.615384615384617
2024-04-13,25.576923076923077,27.923076923076923
2024-04-14,25.615384615384617,28.23076923076923
2024-04-15,25.653846153846153,28.53846153846154
2024-04-16,25.692307692307693,28.846153846153847
2024-04-17,25.73076923076923,29.153846153846153
2024-04-18,25.76923076923077,29.46153846153846
2024-04-19,25.807692307692307,29.76923076923077
2024-04-20,25.846153846153847,30.076923076923077
2024-04-21,25.884615384615383,30.384615384615387
2024-04-22,25.923076923076923,30.692307692307693
